Carat Weight,Color,Clarity,Depth,Table,Cut,Report,Price
0.3,E,VVS1,60,59,Excellent,GIA,1000
0.44,E,VS2,61.9,58,Excellent,GIA,1000
0.31,E,VVS1,61.3,58,Excellent,GIA,1000
0.66,K,SI1,62.8,57,Excellent,GIA,1000
0.47,H,VS2,59.1,64,Very Good,GIA,1000
0.4,G,VS1,62,59,Excellent,GIA,1000
0.36,D,VS2,61.3,57,Excellent,GIA,1000
0.52,H,SI2,61.7,61,Very Good,GIA,1000
0.53,D,SI2,59.4,59,Very Good,GIA,1001
0.43,F,VS2,61.5,60,Excellent,GIA,1001
0.43,F,VS2,60.4,59,Very Good,GIA,1001
0.43,F,VS2,62,58,Very Good,GIA,1001
0.3,E,VVS1,59.1,62,Good,GIA,1001
0.47,I,VS2,62.4,57,Excellent,GIA,1001
0.41,E,VS2,62.8,56,Excellent,GIA,1001
0.44,D,SI1,60.2,60,Excellent,GIA,1001
0.36,F,VVS2,60.7,59,Excellent,GIA,1001
0.4,E,VS1,62.5,62,Good,GIA,1001
0.4,E,VS1,64.3,60,Good,GIA,1001
0.32,F,IF,61.5,57,Very Good,GIA,1002
0.5,F,SI2,63.3,60,Very Good,GIA,1002
0.5,H,SI1,63,63,Good,GIA,1002
0.36,E,VS1,61.5,59,Excellent,GIA,1002
0.44,E,VS2,62.1,57,Excellent,GIA,1002
0.31,E,VVS1,62.1,57,Very Good,GIA,1002
0.45,F,VS2,62.6,57,Very Good,GIA,1017
0.51,I,SI1,62.9,56,Very Good,GIA,1017
0.3,E,VVS1,62.6,58,Excellent,GIA,1017
0.51,I,SI1,61.7,55,Ideal,GIA,1017
0.41,G,VS1,61.4,55,Ideal,GIA,1018
0.31,E,VVS1,62,56,Excellent,GIA,1018
0.31,E,VVS1,60.5,57,Excellent,GIA,1018
0.31,E,VVS1,59.2,61,Very Good,GIA,1018
0.31,E,VVS1,63.4,56,Very Good,GIA,1018
0.31,E,VVS1,62,57,Excellent,GIA,1018
0.31,E,VVS1,63,55,Excellent,GIA,1018
0.31,E,VVS1,61.6,55,Excellent,GIA,1018
0.31,E,VVS1,62.5,58,Very Good,GIA,1018
0.4,F,VVS2,60.9,54,Very Good,GIA,1018
0.31,E,IF,63.3,58,Very Good,GIA,1018
0.31,E,IF,62.4,56,Very Good,GIA,1018
0.42,G,VVS2,62.3,56,Excellent,GIA,1019
0.33,D,VVS2,60.7,57,Ideal,GIA,1019
0.37,H,VVS1,62.3,57,Excellent,GIA,1019
0.45,J,VVS1,58.6,61,Very Good,GIA,1019
0.4,E,VS1,63.5,60,Good,GIA,1019
0.4,E,VS1,61.1,59,Very Good,GIA,1019
0.32,D,VVS1,62.7,55,Very Good,GIA,1019
0.32,D,VVS1,61.5,57,Excellent,GIA,1019
0.37,D,VVS2,63,56,Excellent,GIA,1019
0.33,E,VVS1,60.5,60,Excellent,GIA,1036
0.33,E,VVS1,61.4,57,Ideal,GIA,1036
0.37,E,VVS2,61,57,Very Good,GIA,1037
0.37,E,VVS2,62.6,57,Very Good,GIA,1037
0.43,D,VS2,61.4,56,Excellent,GIA,1037
0.43,D,VS2,62.2,55,Excellent,GIA,1037
0.43,D,VS2,61.9,55,Excellent,GIA,1037
0.43,D,VS2,61.7,57,Excellent,GIA,1037
0.43,D,VS2,61.7,58,Excellent,GIA,1037
0.34,D,VVS1,62.2,56,Excellent,GIA,1037
0.37,E,VVS1,62,57,Excellent,GIA,1037
0.37,E,VVS1,61.8,57,Excellent,GIA,1037
0.5,D,SI2,63.9,59,Good,GIA,1037
0.33,F,VVS1,60.9,58,Excellent,GIA,1037
0.57,J,VS2,62.1,60,Good,GIA,1037
0.4,H,VVS1,61.7,57,Ideal,GIA,1037
0.4,H,VVS1,61.1,60,Excellent,GIA,1037
0.4,H,VVS1,59.9,58,Excellent,GIA,1037
0.4,H,VVS1,62.1,56,Excellent,GIA,1037
0.44,D,VS2,62.8,57,Excellent,GIA,1037
0.31,E,VVS1,58.9,60,Excellent,GIA,1037
0.31,D,VVS1,62.2,58,Excellent,GIA,1037
0.31,D,VVS1,60,59,Excellent,GIA,1037
0.4,F,VS1,63.7,59,Very Good,GIA,1037
0.4,F,VS1,63.2,61,Very Good,GIA,1037
0.32,F,VVS1,61.8,55,Ideal,GIA,1053
0.32,F,VVS1,60.8,60,Excellent,GIA,1053
0.4,F,VVS2,64,58,Very Good,GIA,1053
0.48,G,VS2,63.7,57,Very Good,GIA,1053
0.33,D,VVS2,61.1,58,Excellent,GIA,1053
0.38,E,VS1,60.4,59,Excellent,GIA,1054
0.32,E,IF,62.7,56,Excellent,GIA,1054
0.31,G,IF,62.3,57,Excellent,GIA,1054
0.53,F,SI2,62.4,59,Very Good,GIA,1054
0.42,D,VS1,62.3,57,Excellent,GIA,1054
0.42,D,VS1,62.6,58,Very Good,GIA,1054
0.34,F,IF,62.6,56,Very Good,GIA,1054
0.36,E,VVS1,62.9,56,Excellent,GIA,1054
0.51,J,VS1,60.7,58,Very Good,GIA,1054
0.34,E,VVS2,59.8,57,Excellent,GIA,1054
0.33,D,VVS1,62.3,56,Very Good,GIA,1054
0.33,E,VVS1,62.2,57,Excellent,GIA,1055
0.4,E,VS1,62.8,59,Very Good,GIA,1055
0.4,E,VS1,62.5,53,Very Good,GIA,1055
0.4,E,VS1,60.3,61,Excellent,GIA,1055
0.41,E,VS1,60.8,62,Very Good,GIA,1055
0.41,E,VS1,60.8,59,Very Good,GIA,1055
0.37,E,VS1,62,56,Excellent,GIA,1055
0.4,I,IF,62.2,57,Very Good,GIA,1055
0.37,D,VVS2,61,56,Excellent,GIA,1055
0.38,E,VS1,60.2,58,Excellent,GIA,1076
0.45,E,VS2,61.1,59,Excellent,GIA,1076
0.5,E,SI2,61.7,58,Very Good,GIA,1076
0.5,G,SI1,62.6,56,Excellent,GIA,1076
0.5,G,SI1,61.5,60,Excellent,GIA,1076
0.42,F,VS1,61.7,59,Very Good,GIA,1076
0.42,F,VS1,62.1,59,Excellent,GIA,1076
0.5,E,SI2,61,57,Excellent,GIA,1076
0.5,G,SI1,60.7,60,Very Good,GIA,1076
0.62,J,VS2,58.9,59,Good,GIA,1076
0.5,J,VS2,61.4,57,Excellent,GIA,1076
0.39,E,VVS1,62.2,57,Excellent,GIA,1076
0.39,E,VVS1,62.1,56,Excellent,GIA,1076
0.37,H,VVS1,61.4,57,Ideal,GIA,1077
0.37,D,VS1,61.7,58,Excellent,GIA,1077
