Product Name,Type,Taste,$/oz,$/lb Protein,Calories,Sodium,Protein/Fat
Happy Hill Supers,Beef,Bland,0.11,14.23,186,495,1
Georgies Skinless Beef,Beef,Bland,0.17,21.7,181,477,2
Special Market's Premium Beef,Beef,Bland,0.11,14.49,176,425,1
Spike's Beef,Beef,Medium,0.15,20.49,149,322,1
Hungry Hugh's Jumbo Beef,Beef,Medium,0.1,14.47,184,482,1
Great Dinner Beef,Beef,Medium,0.11,15.45,190,587,1
RJB Kosher Beef,Beef,Medium,0.21,25.25,158,370,2
Wonder Kosher Skinless Beef,Beef,Medium,0.2,24.02,139,322,2
Happy Fats Jumbo Beef,Beef,Medium,0.14,18.86,175,479,1
Midwest Beef,Beef,Medium,0.14,18.86,148,375,1
General Kosher Beef,Beef,Medium,0.23,30.65,152,330,1
Wall's Kosher Beef Lower Fat,Beef,Medium,0.25,25.62,111,300,3
Hickory Natural Smoke,Beef,Medium,0.07,8.12,141,386,2
Smith Beef,Beef,Medium,0.09,12.74,153,401,1
Premium Beef,Beef,Medium,0.1,14.21,190,645,1
Family Store Skinless Beef,Beef,Medium,0.1,13.39,157,440,1
Sam's Kosher Beef,Beef,Medium,0.19,22.31,131,317,2
Hammer Beef,Beef,Medium,0.11,19.95,149,319,1
Athens Beef,Beef,Medium,0.19,22.9,135,298,2
Regents Kosher Beef,Beef,Scrumptious,0.17,19.78,132,253,2
Really Big,Meat,Bland,0.12,14.86,173,458,2
Biggest Jumbo,Meat,Bland,0.12,17.32,191,506,1
Home Made,Meat,Bland,0.12,15.2,182,473,1
Martha's Jumbo Dinner,Meat,Bland,0.1,14.01,190,545,1
Hammer Premium,Meat,Bland,0.11,13.92,172,496,2
Willie's Wieners,Meat,Bland,0.13,18.24,147,360,1
Premium Hot Dogs,Meat,Medium,0.1,14.12,146,387,1
Airport Wieners,Meat,Medium,0.09,11.83,139,386,2
Judy's Favorite Jumbos,Meat,Medium,0.11,15.41,175,507,1
Stick Lean Supreme Jumbo,Meat,Medium,0.15,17.4,136,393,3
Stick Jumbo,Meat,Medium,0.13,17.32,179,405,1
Fat Jack Jumbo,Meat,Medium,0.1,15.61,153,372,1
Thin Jack Veal,Meat,Medium,0.18,20.4,107,144,3
Top Grade Hot Dogs,Meat,Medium,0.09,12.65,195,511,1
Blended with Chicken & Beef,Meat,Scrumptious,0.07,11.17,135,405,1
Heaven Made,Meat,Scrumptious,0.08,11.75,140,428,1
Baked and Smoked,Meat,Scrumptious,0.06,9.49,138,339,1
Smart Person Chicken,Poultry,Bland,0.08,10.21,129,430,2
Woods Park Chicken,Poultry,Medium,0.05,6.37,132,375,2
Tony Turkey,Poultry,Medium,0.07,8.42,102,396,3
Rose Garden Turkey,Poultry,Medium,0.08,9.37,106,383,3
Low Fat Turkey,Poultry,Medium,0.08,9,94,387,4
Special Market's Turkey,Poultry,Medium,0.07,8.07,102,542,5
Calorie-less Turkey,Poultry,Medium,0.09,9.39,90,359,5
Heaven Made Lower Fat,Poultry,Medium,0.06,6.59,99,357,4
McDowell's Jumbo Chicken,Poultry,Medium,0.07,8.43,107,528,2
Estate Turkey,Poultry,Medium,0.08,8.63,113,513,5
Forth Generation Chicken,Poultry,Medium,0.07,7.39,135,426,4
Best Grill Chicken,Poultry,Medium,0.07,7.42,142,513,3
Estate Chicken,Poultry,Medium,0.07,6.27,83,358,3
College Bred Chicken,Poultry,Medium,0.08,9.07,143,581,3
Willie's Great Chicken,Poultry,Medium,0.06,7.91,152,588,2
Heaven Made Chicken,Poultry,Medium,0.07,8.79,146,522,2
Mike Murphy's Best Chicken,Poultry,Scrumptious,0.06,7.18,144,545,3
