TuitionIn,TuitionOut
7920,15958
12300,12300
6946,6946
8604,23606
11046,35610
21370,21370
19958,19958
27690,27690
15190,15190
39860,39860
6526,19416
22044,43670
26880,26880
11374,28051
10576,20056
7038,18918
37506,37506
31110,31110
6639,18519
31250,31250
29300,29300
28700,28700
30794,30794
27100,27100
6554,9226
7254,19134
10270,18801
44490,44490
41509,41509
17740,41356
6262,19183
42000,42000
17963,17963
14638,30579
7851,21596
10911,35475
16853,47273
25430,25430
7859,14960
32854,32854
38000,38000
27440,27440
8677,8677
17662,17662
33025,33025
11924,34370
34600,34600
16830,16830
29950,29950
8884,28127
