Series ID,Series Name,Units,Region Name,State,City Level Code,Region Prefix,Region,12/1/2020,11/1/2025
ABIL148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Abilene, TX",TX,10180,10,Region 1,5.1,3.6
AKRO439UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Akron, OH",OH,10420,10,Region 1,6.2,4.8
ALBA513UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany, GA",GA,10500,10,Region 1,6.8,4.3
ALBA536UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albany-Schenectady-Troy, NY",NY,10580,10,Region 1,5.2,3.6
ALBU735UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Albuquerque, NM",NM,10740,10,Region 1,7.8,4
ALEX722UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Alexandria, LA",LA,10780,10,Region 1,5.4,4
ALLE942UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Allentown-Bethlehem-Easton, PA-NJ",PA-NJ,10900,10,Region 1,8,4.6
ALTO042UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Altoona, PA",PA,11020,11,Region 1,8,4.1
AMAR148UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Amarillo, TX",TX,11100,11,Region 1,4.6,3.2
AMES119UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Ames, IA",IA,11180,11,Region 1,3.2,2.9
ANCH202UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anchorage, AK",AK,11260,11,Region 1,7,4.3
ANDE318UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anderson, IN",IN,11300,11,Region 1,,
ANNA426UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Ann Arbor, MI",MI,11460,11,Region 1,4.9,4.3
ANNI501UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Anniston-Oxford-Jacksonville, AL",AL,11500,11,Region 1,4.8,3.1
APPL555UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Appleton, WI",WI,11540,11,Region 1,3.7,2.7
ASHE737UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Asheville, NC",NC,11700,11,Region 1,5.3,3.8
ATHE013UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Athens-Clarke County, GA",GA,12020,12,Region 1,4.1,3.3
ATLA013UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Atlanta-Sandy Springs-Roswell, GA",GA,12060,12,Region 1,5.3,3.5
ATLA134UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Atlantic City-Hammonton, NJ",NJ,12100,12,Region 1,9.7,7.7
AUBU201UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Auburn-Opelika, AL",AL,12220,12,Region 1,3.9,2.6
AUGU213UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Augusta-Richmond County, GA-SC",GA,12260,12,Region 1,4.7,4.4
AUST448UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Austin-Round Rock, TX",TX,12420,12,Region 1,5.1,3.6
BAKE506UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Bakersfield, CA",CA,12540,12,Region 1,11,8.9
BALT524UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Baltimore-Columbia-Towson, MD",MD,12580,12,Region 1,6.3,4.2
BATO922UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Baton Rouge, LA",LA,12940,12,Region 1,6.6,4.1
BATT926UR,Unemployment Rate by Metropolitan Statistical Area,Percent,"Battle Creek, MI",MI,12980,12,Region 1,7.2,5.8
