rownames,Date,Stock Price Daily Change,Stock
1,5/4/2015,0.005354164,Google Stock
2,5/5/2015,-0.018454899,Google Stock
3,5/6/2015,-0.012396415,Google Stock
4,5/7/2015,0.012361301,Google Stock
5,5/8/2015,0.014169887,Google Stock
6,5/11/2015,-0.004682024,Google Stock
7,5/12/2015,-0.012432395,Google Stock
8,5/13/2015,0.001096358,Google Stock
9,5/14/2015,0.016577979,Google Stock
10,5/15/2015,-0.008451055,Google Stock
11,5/18/2015,-0.002903415,Google Stock
12,5/19/2015,0.009505912,Google Stock
13,5/20/2015,0.003554479,Google Stock
14,5/21/2015,0.006008103,Google Stock
15,5/22/2015,-0.004423928,Google Stock
16,5/26/2015,-0.014422948,Google Stock
17,5/27/2015,0.014032858,Google Stock
18,5/28/2015,-1.84E-05,Google Stock
19,5/29/2015,-0.014209574,Google Stock
20,6/1/2015,0.003533114,Google Stock
21,6/2/2015,0.009719289,Google Stock
22,6/3/2015,0.002095784,Google Stock
23,6/4/2015,-0.006681324,Google Stock
24,6/5/2015,-0.006279104,Google Stock
25,6/8/2015,-0.012187576,Google Stock
26,6/9/2015,-2.66E-04,Google Stock
27,6/10/2015,0.018986501,Google Stock
28,6/11/2015,-0.00387564,Google Stock
29,6/12/2015,-0.004264731,Google Stock
30,6/15/2015,-0.009636888,Google Stock
31,6/16/2015,0.001801995,Google Stock
32,6/17/2015,0.002101649,Google Stock
33,6/18/2015,0.014113989,Google Stock
34,6/19/2015,-7.45E-05,Google Stock
35,6/22/2015,0.00279491,Google Stock
36,6/23/2015,0.004254962,Google Stock
37,6/24/2015,-0.00488446,Google Stock
38,6/25/2015,-0.004852831,Google Stock
39,6/26/2015,-0.006613938,Google Stock
40,6/29/2015,-0.019127653,Google Stock
41,6/30/2015,-0.001936666,Google Stock
42,7/1/2015,0.002555219,Google Stock
43,7/2/2015,0.002989416,Google Stock
44,7/6/2015,-0.00103179,Google Stock
45,7/7/2015,0.004131192,Google Stock
46,7/8/2015,-0.015599411,Google Stock
47,7/9/2015,0.007449211,Google Stock
48,7/10/2015,0.018149366,Google Stock
49,7/13/2015,0.030973502,Google Stock
50,7/14/2015,0.026621514,Google Stock
51,7/15/2015,-0.001568357,Google Stock
52,7/16/2015,0.035039817,Google Stock
53,7/17/2015,0.160524309,Google Stock
54,7/20/2015,-0.014726603,Google Stock
55,7/21/2015,-0.001085988,Google Stock
56,7/22/2015,-3.02E-04,Google Stock
57,7/23/2015,-0.026914284,Google Stock
58,7/24/2015,-0.032159977,Google Stock
59,7/27/2015,0.00593369,Google Stock
60,7/28/2015,0.001179718,Google Stock
61,7/29/2015,0.006257951,Google Stock
62,7/30/2015,0.001044473,Google Stock
63,7/31/2015,-0.011034069,Google Stock
64,8/3/2015,0.008951323,Google Stock
65,8/4/2015,-0.003105182,Google Stock
66,8/5/2015,0.023091027,Google Stock
67,8/6/2015,-0.001708714,Google Stock
68,8/7/2015,-0.011483172,Google Stock
69,8/10/2015,-0.002471286,Google Stock
70,8/11/2015,0.042683871,Google Stock
71,8/12/2015,-0.00184635,Google Stock
72,8/13/2015,-0.004715244,Google Stock
73,8/14/2015,0.001020615,Google Stock
74,8/17/2015,0.00570672,Google Stock
75,8/18/2015,-0.007172349,Google Stock
76,8/19/2015,0.00726993,Google Stock
77,8/20/2015,-0.021289161,Google Stock
78,8/21/2015,-0.053105199,Google Stock
79,8/24/2015,-0.037339988,Google Stock
80,8/25/2015,-0.012805053,Google Stock
81,8/26/2015,0.079991749,Google Stock
82,8/27/2015,0.014301152,Google Stock
83,8/28/2015,-0.011339189,Google Stock
