row_number,Date,Google Daily Stock price Change,SP500 Daily Stock price Change
1,5/4/2015,0.005354164,0.0029407720
2,5/5/2015,-0.018454899,-0.0118373700
3,5/6/2015,-0.012396415,-0.0044556970
4,5/7/2015,0.012361301,0.0037737660
5,5/8/2015,0.014169887,0.0134578540
6,5/11/2015,-0.004682024,-0.0050895520
7,5/12/2015,-0.012432395,-0.0029496560
8,5/13/2015,0.001096358,-0.0003050000
9,5/14/2015,0.016577979,0.0107792310
10,5/15/2015,-0.008451055,0.0007680000
11,5/18/2015,-0.002903415,0.0030479620
12,5/19/2015,0.009505912,-0.0006430000
13,5/20/2015,0.003554479,-0.0009310000
14,5/21/2015,0.006008103,0.0023378880
15,5/22/2015,-0.004423928,-0.0022338820
16,5/26/2015,-0.014422948,-0.0102819300
17,5/27/2015,0.014032858,0.0091626270
18,5/28/2015,-1.84E-05,-0.0012667880
19,5/29/2015,-0.014209574,-0.0063184000
20,6/1/2015,0.003533114,0.0020594190
21,6/2/2015,0.009719289,-0.0010086520
22,6/3/2015,0.002095784,0.0021188850
23,6/4/2015,-0.006681324,-0.0086231770
24,6/5/2015,-0.006279104,-0.0014361780
25,6/8/2015,-0.012187576,-0.0064744870
26,6/9/2015,-2.66E-04,0.0004180000
27,6/10/2015,0.018986501,0.0120424010
28,6/11/2015,-0.00387564,0.0017385520
29,6/12/2015,-0.004264731,-0.0069943000
30,6/15/2015,-0.009636888,-0.0046224890
31,6/16/2015,0.001801995,0.0056898050
32,6/17/2015,0.002101649,0.0019796880
33,6/18/2015,0.014113989,0.0099026870
34,6/19/2015,-7.45E-05,-0.0053035020
35,6/22/2015,0.00279491,0.0060948160
36,6/23/2015,0.004254962,0.0006360000
37,6/24/2015,-0.00488446,-0.0073533570
38,6/25/2015,-0.004852831,-0.0029735650
39,6/26/2015,-0.006613938,-0.0003900000
40,6/29/2015,-0.019127653,-0.0208661470
41,6/30/2015,-0.001936666,0.0026583850
42,7/1/2015,0.002555219,0.0069361300
43,7/2/2015,0.002989416,-0.0003080000
44,7/6/2015,-0.00103179,-0.0038617480
45,7/7/2015,0.004131192,0.0060809370
46,7/8/2015,-0.015599411,-0.0166527330
47,7/9/2015,0.007449211,0.0022622000
48,7/10/2015,0.018149366,0.0123384570
49,7/13/2015,0.030973502,0.0110660590
50,7/14/2015,0.026621514,0.0044532290
51,7/15/2015,-0.001568357,-0.0007350000
52,7/16/2015,0.035039817,0.0080146150
53,7/17/2015,0.160524309,0.0011062520
54,7/20/2015,-0.014726603,0.0007710000
55,7/21/2015,-0.001085988,-0.0042616570
56,7/22/2015,-3.02E-04,-0.0023876820
57,7/23/2015,-0.026914284,-0.0056760400
58,7/24/2015,-0.032159977,-0.0107033280
59,7/27/2015,0.00593369,-0.0057750100
60,7/28/2015,0.001179718,0.0123861020
61,7/29/2015,0.006257951,0.0073187630
62,7/30/2015,0.001044473,0.0000285000
63,7/31/2015,-0.011034069,-0.0022716170
64,8/3/2015,0.008951323,-0.0027568640
65,8/4/2015,-0.003105182,-0.0022497190
66,8/5/2015,0.023091027,0.0031146700
67,8/6/2015,-0.001708714,-0.0077529720
68,8/7/2015,-0.011483172,-0.0028748870
69,8/10/2015,-0.002471286,0.0128082330
70,8/11/2015,0.042683871,-0.0095571670
71,8/12/2015,-0.00184635,0.0009500000
72,8/13/2015,-0.004715244,-0.0012751370
73,8/14/2015,0.001020615,0.0039118940
74,8/17/2015,0.00570672,0.0052114710
75,8/18/2015,-0.007172349,-0.0026255210
76,8/19/2015,0.00726993,-0.0082549640
77,8/20/2015,-0.021289161,-0.0211001100
78,8/21/2015,-0.053105199,-0.0318509820
79,8/24/2015,-0.037339988,-0.0394136660
80,8/25/2015,-0.012805053,-0.0135220080
81,8/26/2015,0.079991749,0.0390338450
82,8/27/2015,0.014301152,0.0242977360
83,8/28/2015,-0.011339189,0.0006090000
84,8/31/2015,-0.01924237,-0.0083917000
